name,rank_2015,firm_2015,rank_2014,firm_2014,rank_2013,firm_2013,rank_2012,firm_2012,rank_2011,firm_2011,rank_2009,firm_2009,rank_2008,firm_2008,rank_2007,firm_2007,rank_2006,firm_2006,rank_2005,firm_2005,uri,gender,notable_deal,citizenship,chinese_zodiac,immigrant
Harry Weller,41,Enterprise Associates,34,,28,,17,,21,,55,,55,,46,,-1,,-1,,harry-weller,M,Groupon,United States,Rooster,No
Navin Chaddha,42,Mayfield Fund,30,,52,,46,,-1,,11,,10,,58,,-1,,-1,,navin-chaddha,M,Qunar Cayman Islands,United States,Dog,Yes
Hans Tung,43,GGV Capital,69,,100,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,hans-tung,M,Xiaomi,United States,Dog,Yes
Brian Singerman,44,Founders Fund Management LLC,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,brian-singerman,M,Spotify,United States,Snake,No
Rob Hayes,45,First Round Capital LLC,75,,97,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,rob-hayes,M,Uber Technologies,United States,Horse,No
Lee Fixel,46,Tiger Global Management LLC,58,,30,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,lee-fixel,M,Facebook,,Monkey,No
Xiaojun Li,47,IDG Capital Partners,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,xiaojun-li,M,Xiaomi,China,Ox,No
Scott Shleifer,48,Tiger Global Management LLC,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,scott-shleifer,M,JD.com,United States,Snake,No
Ann Lamont,49,Oak Investment Partners,46,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,ann-lamont,F,Benefitfocus,United States,Monkey,No
David Chao,50,DCM,-1,,93,,60,,-1,,17,,-1,,-1,,-1,,58,,david-chao,M,Renren,United States,Horse,No
Ryan Sweeney,51,Accel Partners,45,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,ryan-sweeney,M,Braintree,United States,Snake,No
Michael Goguen,52,Sequoia Capital,44,,-1,,-1,,-1,,-1,,-1,,-1,,67,,30,,michael-goguen,M,Virident Systems,United States,Dragon,No
Jonathan Silverstein,53,OrbiMed Advisors LLC,89,,96,,86,,-1,,-1,,-1,,-1,,-1,,-1,,jonathan-silverstein,M,Intercept Pharmaceuticals,United States,Sheep,No
Bryan Roberts,54,Venrock,61,,75,,38,,16,,12,,21,,-1,,-1,,-1,,bryan-roberts,M,Receptos,United States,Sheep,No
Joel Cutler,55,General Catalyst Partners,47,,38,,-1,,42,,-1,,-1,,-1,,-1,,-1,,joel-cutler,M,Kayak.com,United States,Dog,No
Charles Moldow,56,Foundation Capital,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,charles-moldow,M,Lending Club,United States,Snake,No
Deven Parekh,57,Insight Venture Partners,22,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,deven-parekh,M,Twitter,United States,Rooster,No
Neeraj Agrawal,58,Battery Ventures,37,,27,,36,,51,,-1,,-1,,-1,,-1,,-1,,neeraj-agrawal,M,Wayfair,United States,Ox,No
Bijan Sabet,59,Spark Capital,32,,51,,57,,99,,-1,,-1,,-1,,-1,,-1,,bijan-sabet,M,Twitter,United States,Rooster,No
Randy Glein,60,Draper Fisher Jurvetson,42,,91,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,randy-glein,M,Twitter,United States,Snake,No
Kui Zhou,61,Sequoia Capital,81,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,kui-zhou,M,Boyaa Interactive International,China,Monkey,No
Kevin Efrusy,62,Accel Partners,25,,18,,9,,6,,-1,,-1,,-1,,-1,,-1,,kevin-efrusy,M,Facebook,United States,Rat,No
Matt Cohler,63,Benchmark Capital,99,,46,,68,,-1,,-1,,-1,,-1,,-1,,-1,,matt-cohler,M,Dropbox,United States,Snake,No
Ken Howery,64,Founders Fund Management LLC,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,ken-howery,M,Facebook,United States,Rabbit,No
Klaus Hommels,65,Lakestar,51,,66,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,klaus-hommels,M,Spotify,Germany,Sheep,No
Richard Wong,65,Accel Partners,24,,86,,83,,88,,-1,,-1,,-1,,-1,,-1,,rich-wong,M,MoPub,United States,Rooster,No
Ping Li,67,Accel Partners,49,,-1,,58,,-1,,-1,,-1,,-1,,-1,,-1,,ping-li,M,Nimble Storage,United States,Rat,No
David Weiden,68,Khosla Ventures,68,,39,,56,,73,,-1,,99,,-1,,-1,,-1,,david-weiden,M,ZocDoc,United States,Rat,No
Anton Levy,69,General Atlantic,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,anton-levy,M,Alibaba,United States,Tiger,No
Mitch Lasky,70,Benchmark Capital,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,mitch-lasky,M,Snapchat,United States,Tiger,No
Sandy Miller,71,Institutional Venture Partners,38,,42,,16,,38,,-1,,-1,,-1,,-1,,-1,,sandy-miller,M,Zynga,United States,Ox,No
George Zachary,72,CRV,40,,40,,31,,48,,-1,,-1,,-1,,-1,,-1,,george-zachary,M,Twitter,United States,Snake,No
David Cowan,73,Bessemer Venture Partners,-1,,61,,88,,31,,67,,63,,54,,52,,32,,david-cowan,M,Twitch,United States,,No
Richard Liu,73,Morningside Group,84,,60,,100,,-1,,-1,,-1,,-1,,-1,,-1,,richard-liu,M,Xiaomi,China,Tiger,No
George Bischof,75,Meritech Capital Partners,39,,43,,-1,,44,,14,,60,,-1,,-1,,-1,,george-bischof,M,Barracuda Networks,United States,Horse,No
Robert Ward,76,Meritech Capital Partners,31,,31,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,rob-ward,M,Tableau Software,United States,Sheep,No
Josh Stein,77,Draper Fisher Jurvetson,97,,70,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,josh-stein,M,Box,United States,Ox,No
Dennis Phelps,78,Institutional Venture Partners,-1,,-1,,-1,,-1,,65,,-1,,-1,,-1,,-1,,dennis-phelps,M,Snapchat,United States,Ox,No
Bruce Golden,79,Accel Partners (London),-1,,88,,70,,63,,-1,,-1,,-1,,-1,,-1,,bruce-golden,M,Qlik Technologies,United States,Pig,No
Jim Tananbaum,80,Foresite Ventures,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,jim-tananbaum,M,Puma Biotechnology,United States,Rabbit,No
Shervin Pishevar,81,Sherpa Ventures,90,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,jeff-jordan,M,Zulily,United States,Pig,No
Jeffrey Jordan,81,Andreessen Horowitz,48,,74,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,shervin-pishevar,M,Uber Technologies,United States,Tiger,Yes
Bryan Schreier,83,Sequoia Capital,72,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,bryan-schreier,M,Dropbox,United States,Horse,No
David Lee,84,SV Angel,82,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,david-lee,M,Twitter,United States,Rooster,No
Izhar Armony,85,CRV,79,,-1,,75,,-1,,-1,,-1,,-1,,-1,,-1,,izhar-armony,M,RPX Corp.,United States,Rabbit,Yes
Venky Ganesan,86,Menlo Ventures,57,,32,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,venky-ganesan,M,Palo Alto Networks,United States,Ox,No
Suyang Zhang,87,IDG Capital Partners,-1,,48,,35,,-1,,-1,,-1,,-1,,-1,,-1,,suyang-zhang,M,Tian Ge Interactive,China,Dog,No
Andrew Braccia,88,Accel Partners,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,andrew-braccia,M,Cloudera,United States,Rabbit,No
Carl Gordon,89,OrbiMed Advisors LLC,64,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,carl-gordon,M,Acceleron Pharma,United States,Dragon,No
Satish Dharmaraj,90,Redpoint Ventures,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,satish-dharmaraj,M,Pure Storage,United States,Sheep,Yes
Beth Seidenberg,91,Kleiner Perkins Caufield & Byers,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,beth-seidenberg,F,Flexus Biosciences,United States,,No
Shawn Carolan,92,Menlo Ventures,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,shawn-carolan,M,Uber Technologies,United States,Tiger,No
Peter Wagner,93,Wing Venture Partners,53,,78,,-1,,45,,23,,45,,68,,15,,10,,shawn-carolan,M,Uber Technologies,United States,Tiger,No
Mamoon Hamid,94,The Social + Capital Partnership,80,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,mamoon-hamid,M,Yammer,United States,Horse,Yes
Mike Volpi,95,Index Ventures,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,mike-volpi,M,Pure Storage,Italy,Horse,Yes
Ben Nye,96,Bain Capital Ventures,28,,24,,37,,64,,-1,,-1,,-1,,-1,,-1,,ben-nye,M,LinkedIn,United States,Snake,No
Gordon Ritter,97,Emergence Capital Partners,78,,-1,,90,,-1,,-1,,-1,,34,,-1,,-1,,gordon-ritter,M,Veeva Systems,United States,Dragon,No
Jeff Crowe,98,Norwest Venture Partners,77,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,jeff-crowe,M,RetailMeNot,United States,Rooster,No
Ted Schlein,99,Kleiner Perkins Caufield & Byers,62,,37,,71,,85,,-1,,-1,,-1,,-1,,-1,,ted-schlein,M,Mandiant,United States,Dragon,No
Michael Dearing,100,Harrison Metal,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,michael-dearing,M,AdMob,United States,Monkey,No
